I,T
IM7,T
IIIm,T
IIIm7,T
VIm,T
VIm7,T
IIm,S
IIm7,S
IV,S
IVM7,S
V,D
V7,D
VIIm(b5),D
VIIm7(b5),D
IIm(b5),SM
IIm7(b5),SM
IVm,SM
IVm7,SM
bVI,SM
bVIM7,SM
